K,N,stage,time_ms,gflops,speedup,instructions,cycles,ipc,branches,branch_misses,branch_miss_rate_pct,branch_mpki,l1_loads,l1_misses,l1_miss_rate_pct,l1_mpki
9,2048,unroll,90.561,7.5,2.983281986727178,896860089,306274375,2.92828967163838,86108108,224614,0.2608511616583191,0.25044486063645094,420251491,446731,0.10630087211278924,0.4981055634866142
9,2048,tile,254.496,2.67,1.0615844649817678,2747387217,689866931,3.982488641711687,419948625,3609087,0.8594115530203249,1.3136433691137757,721846075,476944,0.06607281199111598,0.17359911884601303
9,2048,simd,59.464,11.43,4.543404412753935,546471705,203116534,2.690434373993404,85459524,51041,0.059725350213745636,0.09340099319506395,122298593,363116,0.29690938472203027,0.6644735613530073
9,2048,optimized,26.367,25.77,10.246482345355936,362474234,151576938,2.391354771924473,43739894,47618,0.10886629034812018,0.13136933755131408,85159086,324390,0.38092235982899114,0.89493257609036
9,4096,naive,996.348,2.73,1.0,10834819903,2960314408,3.6600233656667727,1679070709,9062436,0.5397292652074964,0.8364177790800885,2868929283,1591339,0.05546804549800401,0.14687267663391268
9,4096,reorder,726.037,3.74,1.372310226613795,10670809046,2126087346,5.018989020406878,1511630627,508921,0.03366702095802403,0.0476928223348511,2869117648,2346817,0.08179577444779637,0.21992868487134204
9,4096,unroll,400.766,6.78,2.486109101071448,3587301870,1316085384,2.7257364253199547,344319367,170721,0.04958216596628443,0.04759036350626383,1680572372,1741748,0.10364016623260304,0.48553148386143485
9,4096,tile,1105.586,2.46,0.901194479669605,10989751665,2770691689,3.9664289277044857,1679677406,14983840,0.8920665329232867,1.363437542244045,2886981248,1836423,0.06361049283822712,0.16710322998913735
9,4096,simd,244.214,11.13,4.079815244007305,2186242076,810193746,2.6984188495574983,341843464,137858,0.0403278150726907,0.06305706102419739,488870351,1441834,0.2949317742527609,0.6595033623348854
9,4096,optimized,111.227,24.44,8.957789026045834,1449848324,608798324,2.3814919766434834,174879827,131833,0.07538490989014987,0.090928821875853,340213511,4123215,1.211949222087185,2.843894034808016
15,256,naive,11.896,2.48,1.0,105744252,30662710,3.448627078298037,16969367,82950,0.4888220049693073,0.7844398010399658,30898914,32109,0.10391627356223587,0.30364771032660953
15,256,reorder,7.527,3.92,1.5804437358841505,111788155,21383230,5.227842332519455,15995116,79709,0.49833336626005087,0.7130361888520299,30971005,29114,0.09400405314583753,0.26043904204340795
15,256,unroll,3.812,7.74,3.120671563483736,32945471,12365577,2.6642890178112997,3134870,25701,0.8198426091034078,0.7801072262709494,17974980,27971,0.1556107433777395,0.8490089578625238
15,256,tile,11.934,2.47,0.9968158203452322,106718599,30215398,3.5319276284230976,16968762,83539,0.4923105174084002,0.7827970080454297,30963362,33047,0.1067293661457047,0.309664859824481
15,256,simd,2.23,13.22,5.334529147982063,18022958,8809890,2.045764249042837,3124313,25214,0.8070254164675562,1.398993439367722,5059640,30058,0.5940738866796847,1.6677617514283727
15,256,optimized,0.802,36.78,14.83291770573566,10781223,5798720,1.8592418671706858,1398432,18183,1.3002419853092606,1.6865433541259651,3446737,27289,0.7917343272782343,2.5311599620933545
15,512,naive,47.535,2.48,1.0,413265749,113790754,3.631804294046597,66149366,283027,0.42786048773317037,0.6848547228626004,121178230,65780,0.054283677852036624,0.15917118744820055
15,512,reorder,29.093,4.05,1.6338981885676966,435600029,74075650,5.880475284388325,62065240,143314,0.23090863742732648,0.32900365119121694,121258071,61237,0.050501380646241684,0.14058079872166399
15,512,unroll,15.177,7.77,3.1320419055149236,122220128,41907446,2.9164298869465823,10841133,52325,0.4826525050472123,0.42812097202189153,69519122,55924,0.0804440539395765,0.45756784021695673
15,512,tile,47.655,2.48,0.9974819011646207,417181726,113674892,3.6699548920618286,66146166,289085,0.4370396917638431,0.69294741831525,121442114,66169,0.05448604097916148,0.15860953602747213
15,512,simd,8.963,13.16,5.303469820372643,62560912,27884282,2.2435905647489864,10799540,52438,0.48555771819910853,0.8381911056539585,17863981,57455,0.32162483827093186,0.9183849493754183
15,512,optimized,3.218,36.66,14.771597265382225,33481440,15700089,2.132563707122934,3873874,23487,0.6062923058416458,0.7014931257436956,11390233,49130,0.4313344599710998,1.4673801365771604
15,1024,naive,189.862,2.49,1.0,1643317411,447128411,3.675269498810712,262858592,1080367,0.41100691888359503,0.6574305078058958,482277142,168170,0.03486999182723032,0.10233567713352731
15,1024,reorder,114.291,4.13,1.6612156687753192,1729071440,283973845,6.088840470501782,246164027,272392,0.11065467335728953,0.15753657928674134,482278890,281391,0.05834611587498677,0.16274110686832005
15,1024,unroll,61.698,7.65,3.0772796525008914,479218963,160969605,2.977077337053787,41656353,157912,0.3790826335661213,0.32951951444375543,275667528,311961,0.11316566817401866,0.6509779956266046
15,1024,tile,190.539,2.48,0.9964469216275933,1659134501,447575462,3.7069380291451277,262891029,1079493,0.41062374935585955,0.6506362198781135,483375722,216050,0.04469608012294834,0.13021849637252525
15,1024,simd,52.467,8.99,3.6186936550593707,240524581,104654611,2.298270269238304,41480800,156707,0.3777820099901641,0.6515217669166213,69036484,107434,0.15561916507798979,0.4466653659818661
15,1024,optimized,19.988,23.61,9.498799279567741,124332163,57265349,2.1711587403405157,13790548,42747,0.3099731787308235,0.34381288774007734,43171110,693228,1.6057683019964044,5.575612804226691
15,2048,naive,759.045,2.49,1.0,6565579446,1790709206,3.66646880688455,1050067072,4266400,0.4062978559906695,0.6498131711130618,1926754995,574408,0.029812197269014993,0.087487784547326
15,2048,reorder,460.11,4.1,1.6497033318119578,6903901934,1128883726,6.115689131654645,982977875,543025,0.05524285071014442,0.0786547962574232,1926544083,834202,0.043300436639943735,0.12083051120580995
15,2048,unroll,243.285,7.76,3.1199827362969357,1909459078,646906130,2.951678751289619,165275752,574814,0.3477908846543926,0.30103499290598573,1100370864,1054879,0.09586576985193604,0.5524491266421369
15,2048,tile,762.873,2.47,0.9949821267760164,6628628012,1790771218,3.7015493354885938,1050101261,4265472,0.4061962553914122,0.6434924379944221,1931092481,770096,0.039878773677437356,0.1161772841387196
15,2048,simd,209.817,9.0,3.6176525257724585,954153884,418665447,2.279036617034221,164454140,572291,0.3479942797426687,0.5997889958806687,273718447,343450,0.12547564980156417,0.3599524204211068
15,2048,optimized,79.777,23.66,9.514584404026223,490358517,231726771,2.1161064597063755,53896706,114559,0.21255287846348161,0.23362294327193261,170475308,2745810,1.6106790081294353,5.599596835390543
15,4096,naive,3028.238,2.49,1.0,26257510681,7254616292,3.6194210174775705,4199235942,16976431,0.40427428309528407,0.6465361932532389,7705465274,2188971,0.028408031470676897,0.08336551878788513
15,4096,reorder,1818.838,4.15,1.6649300267533447,27600462796,4512017129,6.117100624154125,3930024982,1126143,0.02865485601638346,0.04080159844867552,7703980820,2830048,0.036734878579305706,0.10253625168959649
15,4096,unroll,983.226,7.68,3.0799002467387964,7632570788,2594476289,2.9418541307779127,659944624,2235348,0.3387175103346247,0.29286960607223395,4399867566,2855450,0.06489854426677533,0.37411379197286526
15,4096,tile,3041.492,2.48,0.9956422703068099,26511895695,7171839941,3.696665836536131,4199632116,17002697,0.4048615814519121,0.6413233212593928,7723353113,2822862,0.03654969491487499,0.10647529820104024
15,4096,simd,830.062,9.1,3.648207001404714,3815105693,1675677914,2.2767535820132556,657374489,2229442,0.3391433706822779,0.5843722767866185,1094093295,1358592,0.12417515089515287,0.356108613843323
15,4096,optimized,318.977,23.67,9.4935935819824,1956836451,925630736,2.114057339383769,214582995,391699,0.18253962761587889,0.20016951329776717,680423897,11036219,1.6219622868419037,5.639826973971266
21,256,naive,23.582,2.45,1.0,194357525,57137702,3.4015635595565255,31542241,84257,0.26712433019581583,0.43351550190814586,59241180,34725,0.0586163206067131,0.17866558035249727
21,256,reorder,14.665,3.94,1.6080463689055575,211583236,38068469,5.557965464805007,30214731,136370,0.451336137991763,0.6445217616389987,59340353,35873,0.06045296023095784,0.16954556834549975
21,256,unroll,7.365,7.85,3.201900882552614,56499742,20205066,2.7963156368803745,4971915,25786,0.5186331624736142,0.45639146458403296,33925215,29478,0.08689112213437704,0.5217368957189221
21,256,tile,23.624,2.45,0.998222146969184,195779441,56578614,3.4603081828763074,31545122,83607,0.2650393934123951,0.4270468828236158,59321880,33226,0.056009688162276715,0.16971138455748272
21,256,simd,5.509,10.49,4.280631693592303,27405483,16227939,1.6887839546352743,4958481,25587,0.5160249681303608,0.9336452855072834,8618617,35769,0.4150201824724315,1.3051767779462233
21,256,optimized,1.565,36.93,15.068370607028754,13730503,7451983,1.842530102390196,1626982,18168,1.1166687769133279,1.3231853195764205,5441546,27697,0.5089913785530803,2.0171875713511738
21,512,naive,94.938,2.44,1.0,767636231,218693215,3.5101053820988457,124425223,287319,0.23091700627291623,0.3742905668036401,234531921,69858,0.02978613729940838,0.0910040422518827
21,512,reorder,56.447,4.1,1.6818962920970113,833609344,136999795,6.084748842142428,118851393,256678,0.2159654956673499,0.30791161573160103,234680552,109539,0.046675789308693975,0.13140327755251263
