K,N,tile_config,TY,TX,time_ms,gflops,speedup,instructions,cycles,ipc,branches,branch_misses,branch_miss_rate_pct,branch_mpki,l1_loads,l1_misses,l1_miss_rate_pct,l1_mpki
9,512,tile_16x64,16,64,9.649,4.4,1.01,174638594,46200618,3.7800055834750954,26765526,282410,1.055125910845167,1.6171110493480039,45890575,46999,0.10241536524656751,0.2691214978517292
9,512,tile_16x256,16,256,9.611,4.42,1.02,174549002,46197613,3.7783121392007852,26756004,271619,1.0151702772955185,1.556118894337763,45849625,46668,0.10178491099981735,0.26736331611910336
9,512,tile_32x32,32,32,9.674,4.39,1.01,174728372,46176204,3.7839483730624544,26772456,287111,1.0724118848117632,1.6431847713890448,45936938,43230,0.09410727375864712,0.24741259536258944
9,512,tile_32x64,32,64,9.65,4.4,1.01,174625622,46244119,3.776169289764175,26762953,284543,1.0631973235539443,1.6294458782228418,45887916,46947,0.10230798016628169,0.2688437095445249
9,512,tile_32x128,32,128,9.645,4.4,1.01,174543100,46040009,3.7911178514322184,26750318,278644,1.041647430135223,1.5964194516998953,45856131,47437,0.10344745395114124,0.27177814534060646
9,512,tile_32x256,32,256,9.613,4.42,1.02,174526351,46031618,3.7914450671710043,26748686,275582,1.030263692205292,1.5790280288390377,45845764,47076,0.10268342348924538,0.2697357718777951
9,512,tile_64x64,64,64,9.639,4.41,1.02,174593490,46457891,3.75810193364137,26755529,282281,1.0550380072844008,1.6167899501865732,45881283,46787,0.1019740446229457,0.2679767727880346
9,512,tile_64x128,64,128,9.628,4.41,1.02,174553599,46106720,3.785860260716876,26752914,277271,1.0364142014585775,1.5884576519101161,45858794,48075,0.10483267396870488,0.27541683629221536
9,512,tile_64x256,64,256,9.64,4.41,1.02,174525577,45997111,3.7942725794235206,26750676,274597,1.0265049002873796,1.5733911597381514,45845550,47125,0.10279078340209681,0.2700177292638316
9,512,tile_128x128,128,128,9.639,4.41,1.01,174539954,46217236,3.776512165288292,26750422,279094,1.0433255968821724,1.599026432652778,45856101,47072,0.1026515533887192,0.269691832278127
9,1024,naive,0,0,38.932,4.36,1.0,678778164,173650915,3.908866037360068,105248798,1001991,0.9520213237969711,1.4761685822291715,179852453,93976,0.05225171991398972,0.13844876718809712
9,1024,tile_16x16,16,16,38.646,4.4,1.01,690244257,178115281,3.8752669233360164,105454453,1129617,1.0711894736204264,1.6365467565201344,181797355,96512,0.05308768106114635,0.1398229670457077
9,1024,tile_16x64,16,64,39.887,4.26,0.98,688703130,193604069,3.5572761128279797,105296535,1043298,0.9908189286570541,1.5148733243015753,181122099,139989,0.07728985075421416,0.20326464902228628
9,1024,tile_16x256,16,256,41.166,4.13,1.03,688307864,189389744,3.634346028790239,105255405,985148,0.9359595357597075,1.4312607069094883,180950238,121539,0.06716708490872501,0.1765765093742994
9,1024,tile_32x32,32,32,39.035,4.35,1.08,689282615,177650579,3.8799908161290033,105361852,1091500,1.0359536960303242,1.5835304362057645,181359628,125376,0.06913115194523888,0.181893460347901
9,1024,tile_32x64,32,64,38.419,4.42,1.01,688609486,174524700,3.945627673332199,105283592,978226,0.9291343327267937,1.4205816502504585,181098278,134399,0.07421329539091476,0.1951744823916062
9,1024,tile_32x128,32,128,38.11,4.46,1.02,688449227,175144806,3.9307430389914044,105274532,987055,0.9376009384681947,1.433736812083021,181006289,126076,0.06965282847161183,0.1831304256806145
